Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.04,-.36,-.12,-.01,-.83,-.46,-.26,-.16,-.09,-.03,.05,.65
1881,-.08,-.17,.01,-.33,.11,-.07,-.93,-.43,-.18,.09,.12,-.05,-.07,.57
1882,-.10,-.21,.00,-.30,-.05,.01,-1.42,-.26,-.13,-.06,-.04,.02,.04,.60
1883,-.17,-.27,-.06,-.33,-.16,-.01,-.18,-.54,-.23,-.19,-.14,-.03,.07,.48
1884,-.28,-.42,-.14,-.59,-.15,-.14,-1.30,-.62,-.44,-.14,-.15,-.19,-.02,.63
1885,-.33,-.43,-.24,-.65,-.13,-.27,-1.51,-.67,-.45,-.08,-.19,-.33,-.15,.80
1886,-.31,-.43,-.20,-.56,-.20,-.21,-1.59,-.50,-.40,-.23,-.17,-.20,-.20,.57
1887,-.36,-.44,-.28,-.52,-.30,-.28,-1.77,-.51,-.28,-.30,-.29,-.27,-.26,.30
1888,-.17,-.24,-.11,-.42,.10,-.29,-1.31,-.43,-.24,.06,.14,-.31,-.22,.13
1889,-.10,-.18,-.03,-.29,.08,-.16,-.69,-.22,-.27,.00,.16,-.15,-.15,.42
1890,-.35,-.38,-.31,-.45,-.37,-.22,-1.14,-.55,-.26,-.28,-.45,-.17,-.27,.13
1891,-.22,-.26,-.18,-.42,-.08,-.21,-1.13,-.33,-.36,-.01,-.15,-.18,-.24,-.18
1892,-.27,-.40,-.15,-.44,-.30,-.08,-1.16,-.65,-.17,-.34,-.25,.03,-.21,.07
1893,-.31,-.48,-.14,-.52,-.36,-.04,-.73,-.55,-.47,-.42,-.29,.07,-.20,-.07
1894,-.30,-.39,-.21,-.33,-.33,-.24,-1.00,-.33,-.18,-.49,-.16,-.14,-.35,-.40
1895,-.23,-.31,-.14,-.41,-.07,-.26,-.73,-.54,-.26,-.15,.02,-.19,-.32,-.61
1896,-.11,-.20,-.02,-.36,.10,-.15,-.94,-.38,-.22,.05,.16,-.15,-.13,.23
1897,-.11,-.17,-.04,-.37,.17,-.23,-.62,-.48,-.24,.13,.22,-.19,-.27,.38
1898,-.27,-.28,-.25,-.35,-.22,-.26,-1.18,-.22,-.23,-.19,-.24,-.27,-.21,.35
1899,-.18,-.22,-.13,-.25,-.11,-.18,-1.09,-.10,-.15,-.16,-.06,-.15,-.22,.56
1900,-.08,-.09,-.06,-.20,.17,-.30,-.58,-.14,-.16,.08,.27,-.28,-.29,.25
1901,-.15,-.13,-.17,-.17,-.03,-.30,-.46,-.11,-.15,-.07,.01,-.27,-.33,.24
1902,-.28,-.34,-.21,-.54,-.03,-.35,-1.44,-.51,-.33,-.03,-.03,-.28,-.43,-.07
